
Nearest Neighbour
tsp_6_1.txt
132
Time records [us]
51.2
48.3
53.3
45
46.3
51.5
29.4
51.3
35.9
24.7
Average time
43.69
Cost records
132
132
132
132
132
132
132
132
132
132
Absolute error records
0
0
0
0
0
0
0
0
0
0
Average absolute record
0
Relative error records
0
0
0
0
0
0
0
0
0
0
Average relative error records
0
Relative error records [%]
0
0
0
0
0
0
0
0
0
0
Average relative error records [%]
0
